Медвеђа	59132	42579	59884	41938	60806	43628	59889	42535	97573	68784	27748	19805	64341	47396	68539	50662	61714	44511	57453	41039	63926	47188	73716	52937
Црна Трава	39837	28822	41970	30381	40376	28979	44936	32606	40247	28877	37078	27073	38540	27885	36116	26441	44336	31438	35468	25918	38755	27875	46048	33273
Нишавска област	53384	38492	57812	41794	56285	40751	58373	42171	57452	41540	57050	41200	58290	42041	56241	40667	57623	41692	56322	40753	57132	41288	61639	44638
Алексинац	60503	43619	61260	44207	54323	39350	56235	40725	56054	40766	55701	40308	59922	43321	53159	38496	54020	39108	52634	38145	53619	38852	54361	39377
Гаџин Хан	35886	26489	38710	28568	38457	28391	38688	28555	38319	28298	38651	28528	38465	28398	38212	28212	38593	28486	38343	28315	38276	28258	38464	28387
Дољевац	43607	31686	47840	34741	47446	34464	48621	35318	47917	34814	48028	34883	48112	34960	47505	34537	48885	35528	47348	34422	47832	34760	52971	38457
Мерошина	41603	30357	69615	51945	46685	34112	46575	33791	44657	32684	46316	33729	52536	35038	50873	38175	46182	33630	47397	33471	47334	34357	48250	35100
Ражањ	37173	27098	43188	31523	44420	32597	43344	31636	44709	32651	45172	32965	43227	31543	44753	32655	42395	30900	44880	32752	43227	31544	41479	30268
Сврљиг	35054	25607	39955	29171	39380	28771	40498	29543	39647	28970	41417	30196	40524	29569	39749	29010	40730	29705	40267	29384	40136	29298	40480	29539
Град Ниш	53963	38876	58363	42145	57770	41794	60037	43333	59007	42603	58465	42180	59413	42863	57775	41717	59424	42965	58019	41965	58896	42521	64181	46454
Нишка Бања	37083	26847	45667	33213	45164	32961	44789	32582	44862	33405	45673	33290	44428	32375	44349	32317	44543	32469	42633	31788	45288	33647	44884	33700
